corpus	analysis_frame	code_frame	raw_boundary_wave	data	build_profile	resource_configured_mib	resource_effective_mib	a5_mode	a5_world	a5_attestation	cache_manifest_sha256	launch_env_sha256	program	subject_identity	owner	required_arms	ready_arms	applied_arms	surface_state	d4_state	c_state	pair_state	glue_state	addr_state	terminal	blocking_arm	blocking_reason
rs-crown	era5a-r258-local-coverage-v1	1858245451e30ca7b9862263279feaeb78925905	wave2	provisional	release	49152	49152	precise_replay	closed_world_frozen_graph	frozen_benchmark_graph	e2cc2ec48386435277e41589378439657944da5b1882e66190b0c16a2faf6034	0d540e8548b2731925d6a4775f4ac5e4206ca83c8a25b3a206f74fbaff089790	tulipindicators	indicators::abs::ti_abs::in1#6	indicators::abs::ti_abs	-	-	-	not-required	not-required	not-required	not-required	not-required	not-required	planned	-	-
rs-crown	era5a-r258-local-coverage-v1	1858245451e30ca7b9862263279feaeb78925905	wave2	provisional	release	49152	49152	precise_replay	closed_world_frozen_graph	frozen_benchmark_graph	e2cc2ec48386435277e41589378439657944da5b1882e66190b0c16a2faf6034	0d540e8548b2731925d6a4775f4ac5e4206ca83c8a25b3a206f74fbaff089790	tulipindicators	indicators::abs::ti_abs::inputs#2	indicators::abs::ti_abs	surface	surface	surface	ready	not-required	not-required	not-required	not-required	not-required	planned	-	-
rs-crown	era5a-r258-local-coverage-v1	1858245451e30ca7b9862263279feaeb78925905	wave2	provisional	release	49152	49152	precise_replay	closed_world_frozen_graph	frozen_benchmark_graph	e2cc2ec48386435277e41589378439657944da5b1882e66190b0c16a2faf6034	0d540e8548b2731925d6a4775f4ac5e4206ca83c8a25b3a206f74fbaff089790	tulipindicators	indicators::abs::ti_abs::options#3	indicators::abs::ti_abs	surface	surface	surface	ready	not-required	not-required	not-required	not-required	not-required	planned	-	-
rs-crown	era5a-r258-local-coverage-v1	1858245451e30ca7b9862263279feaeb78925905	wave2	provisional	release	49152	49152	precise_replay	closed_world_frozen_graph	frozen_benchmark_graph	e2cc2ec48386435277e41589378439657944da5b1882e66190b0c16a2faf6034	0d540e8548b2731925d6a4775f4ac5e4206ca83c8a25b3a206f74fbaff089790	tulipindicators	indicators::abs::ti_abs::output#11	indicators::abs::ti_abs	-	-	-	not-required	not-required	not-required	not-required	not-required	not-required	planned	-	-
rs-crown	era5a-r258-local-coverage-v1	1858245451e30ca7b9862263279feaeb78925905	wave2	provisional	release	49152	49152	precise_replay	closed_world_frozen_graph	frozen_benchmark_graph	e2cc2ec48386435277e41589378439657944da5b1882e66190b0c16a2faf6034	0d540e8548b2731925d6a4775f4ac5e4206ca83c8a25b3a206f74fbaff089790	tulipindicators	indicators::abs::ti_abs::outputs#4	indicators::abs::ti_abs	surface	surface	surface	ready	not-required	not-required	not-required	not-required	not-required	planned	-	-
